VIDEO_ID	VIEWS	RATE	RATINGS	COMMENTS
RYFw4OhNY-M	112	0	0	0
ZA9iqbBXegg	76	0	0	0
7LfD-5j81jw	1955	5	1	13
T6oOjyA99ns	6611	5	12	10
RzFUWyh6RA4	5385	5	29	20
7RjuTPd5WJ0	458	5	4	0
3PAMyuxxWJE	220	5	3	0
UE4Qs41CfP4	137	5	7	29
Ykvo7sBVkJE	9	0	0	0
XG-2SkmQnpE	72	5	4	12
4WuLtnGV7dQ	37	5	3	5
9g5X74cuEIE	193	4.5	2	0
WsJQB2VO_RI	185	5	1	0
GHEwFJBQkC0	163	0	0	0
ywpKlqrTDzs	150	0	0	1
ahwpxt7JfHw	1574	3.73	26	20
PbQ-w9eG0D8	38	4	2	5
EnIECmcZ5LU	81	5	2	0
c1-2CyBqt08	69	5	3	0
QyHRAT0mc98	50	4.75	4	4
qAuEoy56lmQ	727	4.71	45	11
nztoyV9hdoI	5960	4.17	36	114
Ax2drSL6bxY	1080	4.26	19	22
nV4owRtH_WI	637	4.29	14	17
SGvVJ34fvHk	153	3	2	6
GexMox4UKbU	896	4.25	8	18
kkR1Ab5lkaA	799	4.82	28	47
XwacgJlUuIs	975	3.92	12	38
neIYCHuWaR8	494	4.29	7	17
a3ajJ1wv4Y4	441	3.73	15	19
AHoKenWXnGA	420	5	3	3
qYgWaCFMR-k	180	5	2	1
li4zcDTg-kc	296	5	2	9
